@iter: 465, score: 85, epsilon: 0.01
@iter: 466, score: 95, epsilon: 0.01
@iter: 467, score: 91, epsilon: 0.01
@iter: 468, score: 174, epsilon: 0.01
@iter: 469, score: 112, epsilon: 0.01
@iter: 470, score: 91, epsilon: 0.01
@iter: 471, score: 88, epsilon: 0.01
@iter: 472, score: 83, epsilon: 0.01
@iter: 473, score: 199, epsilon: 0.01
@iter: 474, score: 90, epsilon: 0.01
@iter: 475, score: 70, epsilon: 0.01
@iter: 476, score: 77, epsilon: 0.01
@iter: 477, score: 76, epsilon: 0.01
@iter: 478, score: 76, epsilon: 0.01
@iter: 479, score: 15, epsilon: 0.01
@iter: 480, score: 79, epsilon: 0.01
@iter: 481, score: 115, epsilon: 0.01
@iter: 482, score: 95, epsilon: 0.01
@iter: 483, score: 93, epsilon: 0.01
@iter: 484, score: 93, epsilon: 0.01
@iter: 485, score: 91, epsilon: 0.01
@iter: 486, score: 86, epsilon: 0.01
@iter: 487, score: 79, epsilon: 0.01
@iter: 488, score: 82, epsilon: 0.01
@iter: 489, score: 90, epsilon: 0.01
@iter: 490, score: 173, epsilon: 0.01
@iter: 491, score: 81, epsilon: 0.01
@iter: 492, score: 82, epsilon: 0.01
@iter: 493, score: 82, epsilon: 0.01
@iter: 494, score: 88, epsilon: 0.01
@iter: 495, score: 91, epsilon: 0.01
@iter: 496, score: 101, epsilon: 0.01
@iter: 497, score: 98, epsilon: 0.01
@iter: 498, score: 102, epsilon: 0.01
@iter: 499, score: 161, epsilon: 0.01
@iter: 500, score: 72, epsilon: 0.01
@iter: 501, score: 104, epsilon: 0.01
@iter: 502, score: 92, epsilon: 0.01
@iter: 503, score: 145, epsilon: 0.01
@iter: 504, score: 172, epsilon: 0.01
@iter: 505, score: 114, epsilon: 0.01
@iter: 506, score: 110, epsilon: 0.01
@iter: 507, score: 100, epsilon: 0.01
@iter: 508, score: 107, epsilon: 0.01
@iter: 509, score: 117, epsilon: 0.01
@iter: 510, score: 108, epsilon: 0.01
@iter: 511, score: 157, epsilon: 0.01
@iter: 512, score: 110, epsilon: 0.01
@iter: 513, score: 133, epsilon: 0.01
@iter: 514, score: 114, epsilon: 0.01
